Marathon,Year,Name,Time,Place
NYC,2015,SHIRLEY LANDRY,3:32:18,4464
NYC,2015,AHMAD ASSEGAF,4:00:32,12627
NYC,2015,BUDI DJAFAR,4:03:41,13664
NYC,2015,ERIC DALIMARTA,4:14:42,17523
NYC,2015,DEBORAH HIDAJAT,4:21:41,20227
NYC,2015,STANLEY ANGKODJOJO,4:35:06,25436
NYC,2015,SHAUN WANGIDJAJA,4:36:25,25952
NYC,2015,RINA TAMBUNAN,4:45:39,29326
NYC,2015,GENIO ATYANTO,4:46:05,29487
NYC,2015,REZA PRATAMA,4:58:56,34031
NYC,2015,ANANDA HERMANTO,4:59:29,34228
NYC,2015,KUSUMA NIO,5:00:58,34702
NYC,2015,HIMAWAN SUPARYO,5:01:36,34892
NYC,2015,MIRNA YOGIAMAN,5:06:01,36024
NYC,2015,ENNY TANOTO,5:11:55,37453
NYC,2015,GARRY KAMIL,5:12:16,37530
NYC,2015,EKA PUTRA,5:14:18,37993
NYC,2015,FAIZIN KADNI,5:26:35,40692
NYC,2015,RAYENDRA TOBING,5:29:40,41307
NYC,2015,WIDURI SRUMENGANTI,5:46:06,43928
NYC,2015,SUZI HERAWATI,5:47:56,44144
NYC,2015,CLARA WANATIRTA,5:49:24,44324
NYC,2015,RINA ADELYNE,5:54:57,44992
NYC,2015,ADRIAN GUNADI,5:56:33,45188
NYC,2015,VICI SHAWEDDY,5:57:07,45257
NYC,2015,DECY JAVAHERI,6:00:51,45647
NYC,2015,MOHAMMAD SISWO,6:10:41,46483
NYC,2015,NOVIE HERNAWATI,6:13:26,46661
NYC,2016,BUDI ZAIN,3:49:17,9161
NYC,2016,IMAN ADIWIBOWO,3:54:32,10920
NYC,2016,ADRIANSYAH CHANIAGO,3:56:24,11678
NYC,2016,BUDI DJAFAR,4:19:09,20491
NYC,2016,DANTE HARBUWONO,4:28:25,24388
NYC,2016,REZA PRABOWO,4:39:32,28600
NYC,2016,HARTANTO NG,4:47:58,31599
NYC,2016,BAGUS BUDIANTO,4:48:39,31878
NYC,2016,RIZAL TANDIAWAN,4:52:19,33286
NYC,2016,MULYA MASHUDI,4:58:38,35580
NYC,2016,RIANA MONTISANO,4:59:03,35728
NYC,2016,RAMADHAN SENTOUSA,5:02:13,36687
NYC,2016,NOVIANA SADIKIN,5:02:27,36756
NYC,2016,CHRESTOFEL UNEPUTTY,5:05:03,37458
NYC,2016,AHMAD NURHANI,5:11:11,39036
NYC,2016,ERIK SUBARNA,5:11:52,39195
NYC,2016,ANDARU DJAJA,5:13:10,39529
NYC,2016,KETUT KUSUMA,5:13:26,39589
